0,1,2,3,4
0,0,177,648,0
0,1,352,616,0
0,2,22,237,0
0,3,272,618,0
0,4,322,739,0
0,5,450,656,0
0,6,61,549,0
0,7,270,85,0
0,8,582,640,0
0,9,367,697,0
0,10,445,310,0
0,11,144,479,0
0,12,216,442,0
0,13,212,493,0
0,14,81,121,0
0,15,465,197,0
0,16,692,245,0
0,17,54,463,0
0,18,727,507,0
0,19,143,19,0
0,20,579,325,0
0,21,442,295,0
0,22,729,576,0
0,23,362,373,0
0,24,295,662,0
0,25,627,348,0
0,26,346,295,0
0,27,740,208,0
0,28,532,78,0
0,29,180,502,0
0,30,278,390,0
0,31,98,527,0
0,32,273,214,0
0,33,166,642,0
0,34,189,677,0
0,35,134,191,0
0,36,538,352,0
0,37,580,264,0
0,38,69,544,0
0,39,701,591,0
0,40,530,491,0
0,41,258,452,0
0,42,676,575,0
1,0,178,648,0
1,1,351,617,0
1,2,21,236,0
1,3,271,618,0
1,4,323,740,0
1,5,451,656,0
1,6,60,549,0
1,7,269,84,0
1,8,581,639,0
1,9,368,698,0
1,11,145,480,0
1,12,216,441,0
1,13,213,493,0
1,14,81,122,0
1,15,466,197,0
1,16,693,246,0
1,17,54,463,0
1,18,727,508,0
1,19,144,19,0
1,20,580,325,0
1,21,442,294,0
1,22,729,575,0
1,23,363,373,0
1,24,295,662,0
1,25,626,347,0
1,26,347,296,0
1,27,740,209,0
1,28,532,78,0
1,29,180,502,0
1,30,278,390,0
1,31,98,527,0
1,32,273,214,0
1,33,166,642,0
1,34,189,677,0
1,35,134,191,0
1,36,538,352,0
1,37,580,264,0
1,38,69,544,0
1,39,701,591,0
1,40,530,491,0
1,41,258,452,0
1,42,676,575,0
1,43,442,294,0
2,0,179,648,0
2,1,350,617,0
2,2,21,235,0
2,3,270,619,0
2,4,323,741,0
2,5,452,655,0
2,6,59,549,0
2,7,269,83,0
2,8,580,639,0
2,9,368,699,0
2,11,146,480,0
2,12,216,440,0
2,13,214,493,0
2,14,80,122,0
2,15,467,196,0
2,16,694,247,0
2,17,53,464,0
2,18,726,509,0
2,19,145,19,0
2,20,581,325,0
2,21,442,293,0
2,22,729,574,0
2,23,364,373,0
2,24,296,661,0
2,25,626,347,0
2,26,347,297,0
2,27,740,210,0
2,28,532,78,0
2,29,180,502,0
2,30,278,390,0
2,31,98,527,0
2,32,273,214,0
2,33,166,642,0
2,34,189,677,0
2,35,134,191,0
2,36,538,352,0
2,37,580,264,0
2,38,69,544,0
2,39,701,591,0
2,40,530,491,0
2,41,258,452,0
2,42,676,575,0
2,43,442,293,0
3,0,180,647,0
3,1,349,617,0
3,2,20,234,0
3,3,269,619,0
3,4,323,742,0
3,5,453,655,0
3,6,59,548,0
3,7,269,83,0
3,8,579,639,0
3,9,369,699,0
3,11,147,481,0
3,12,216,439,0
3,13,215,493,0
3,14,79,123,0
3,15,467,195,0
3,16,695,247,0
3,17,53,465,0
3,18,726,510,0
3,19,146,19,0
3,20,582,325,0
3,21,442,292,0
3,22,730,573,0
3,23,365,373,0
3,24,297,661,0
3,25,625,346,0
3,26,348,298,0
3,27,741,211,0
3,28,532,78,0
3,29,180,502,0
3,30,278,390,0
3,31,98,527,0
3,32,273,214,0
3,33,166,642,0
3,34,189,677,0
3,35,134,191,0
3,36,538,352,0
3,37,580,264,0
3,38,69,544,0
3,39,701,591,0
3,40,530,491,0
3,41,258,452,0
3,42,676,575,0
3,43,442,292,0
4,0,181,647,0
4,1,348,618,0
4,2,20,233,0
4,3,268,619,0
4,4,323,743,0
4,5,453,654,0
4,6,58,548,0
4,7,269,82,0
4,8,578,638,0
4,9,370,700,0
4,11,148,482,0
4,12,216,438,0
4,13,216,492,0
4,14,78,123,0
4,15,468,195,0
4,16,696,248,0
4,17,52,466,0
4,18,725,511,0
4,19,147,19,0
4,20,583,324,0
4,21,443,291,0
4,22,730,572,0
