0,5,count
0,Grass,10
0,Hunter,10
0,Prey,10
1,Grass,10
1,Hunter,10
1,Prey,10
2,Grass,10
2,Hunter,10
2,Prey,10
3,Grass,10
3,Hunter,10
3,Prey,10
4,Grass,10
4,Hunter,10
4,Prey,10
5,Grass,10
5,Hunter,10
5,Prey,10
6,Grass,10
6,Hunter,10
6,Prey,10
7,Grass,10
7,Hunter,10
7,Prey,10
8,Grass,10
8,Hunter,10
8,Prey,10
9,Grass,10
9,Hunter,10
9,Prey,10
10,Grass,10
10,Hunter,10
10,Prey,10
11,Grass,10
11,Hunter,10
11,Prey,11
12,Grass,10
12,Hunter,10
12,Prey,11
13,Grass,10
13,Hunter,10
13,Prey,11
14,Grass,10
14,Hunter,10
14,Prey,11
15,Grass,10
15,Hunter,10
15,Prey,11
16,Grass,10
16,Hunter,10
16,Prey,11
17,Grass,10
17,Hunter,10
17,Prey,11
18,Grass,10
18,Hunter,10
18,Prey,11
19,Grass,10
19,Hunter,10
19,Prey,11
20,Grass,10
20,Hunter,10
20,Prey,11
21,Grass,10
21,Hunter,10
21,Prey,11
22,Grass,10
22,Hunter,10
22,Prey,11
23,Grass,10
23,Hunter,10
23,Prey,11
24,Grass,10
24,Hunter,10
24,Prey,11
25,Grass,10
25,Hunter,10
25,Prey,11
26,Grass,10
26,Hunter,10
26,Prey,11
27,Grass,10
27,Hunter,10
27,Prey,11
28,Grass,10
28,Hunter,10
28,Prey,11
29,Grass,10
29,Hunter,10
29,Prey,11
30,Grass,10
30,Hunter,10
30,Prey,11
31,Grass,10
31,Hunter,10
31,Prey,11
32,Grass,10
32,Hunter,10
32,Prey,11
33,Grass,10
33,Hunter,10
33,Prey,11
34,Grass,10
34,Hunter,10
34,Prey,11
35,Grass,10
35,Hunter,10
35,Prey,11
36,Grass,10
36,Hunter,10
36,Prey,12
37,Grass,10
37,Hunter,10
37,Prey,12
38,Grass,10
38,Hunter,10
38,Prey,12
39,Grass,10
39,Hunter,10
39,Prey,12
40,Grass,10
40,Hunter,10
40,Prey,12
41,Grass,10
41,Hunter,10
41,Prey,12
42,Grass,10
42,Hunter,10
42,Prey,12
43,Grass,10
43,Hunter,10
43,Prey,12
44,Grass,10
44,Hunter,10
44,Prey,12
45,Grass,10
45,Hunter,10
45,Prey,12
46,Grass,10
46,Hunter,10
46,Prey,12
47,Grass,10
47,Hunter,10
47,Prey,12
48,Grass,10
48,Hunter,10
48,Prey,12
49,Grass,10
49,Hunter,10
49,Prey,12
50,Grass,10
50,Hunter,10
50,Prey,12
51,Grass,10
51,Hunter,10
51,Prey,12
52,Grass,10
52,Hunter,10
52,Prey,12
53,Grass,10
53,Hunter,10
53,Prey,12
54,Grass,10
54,Hunter,10
54,Prey,12
55,Grass,10
55,Hunter,10
55,Prey,12
56,Grass,10
56,Hunter,10
56,Prey,12
57,Grass,10
57,Hunter,10
57,Prey,12
58,Grass,10
58,Hunter,10
58,Prey,12
59,Grass,10
59,Hunter,10
59,Prey,12
60,Grass,10
60,Hunter,10
60,Prey,12
61,Grass,10
61,Hunter,10
61,Prey,12
62,Grass,10
62,Hunter,10
62,Prey,12
63,Grass,10
63,Hunter,10
63,Prey,12
64,Grass,10
64,Hunter,10
64,Prey,12
65,Grass,10
65,Hunter,10
65,Prey,12
66,Grass,10
66,Hunter,10
66,Prey,12
67,Grass,10
67,Hunter,10
67,Prey,12
68,Grass,10
68,Hunter,10
68,Prey,12
69,Grass,10
69,Hunter,10
69,Prey,12
70,Grass,10
70,Hunter,10
70,Prey,12
71,Grass,10
71,Hunter,10
71,Prey,12
72,Grass,10
72,Hunter,10
72,Prey,12
73,Grass,10
73,Hunter,10
73,Prey,12
74,Grass,10
74,Hunter,10
74,Prey,12
75,Grass,10
75,Hunter,10
75,Prey,12
76,Grass,10
76,Hunter,10
76,Prey,12
77,Grass,10
77,Hunter,10
77,Prey,12
78,Grass,10
78,Hunter,10
78,Prey,12
79,Grass,10
79,Hunter,10
79,Prey,12
80,Grass,10
80,Hunter,10
80,Prey,12
81,Grass,10
81,Hunter,10
81,Prey,12
