Time_Frame,Grass,Prey,Hunter
0,35,25,16
1,34,25,17
2,34,26,17
3,34,26,17
4,34,26,17
5,34,26,17
6,34,26,17
7,34,26,17
8,34,26,18
9,34,26,18
10,34,26,18
11,34,26,18
12,34,26,18
13,34,26,18
14,34,26,18
15,34,26,18
16,34,26,18
17,34,26,18
18,34,26,18
19,34,26,18
20,34,26,18
21,34,26,18
22,34,26,18
23,34,26,18
24,34,26,18
25,34,26,18
26,34,26,18
27,34,26,18
28,34,26,18
29,34,26,18
30,34,26,18
31,34,26,18
32,34,26,18
33,34,26,18
34,34,26,18
35,34,26,18
36,34,26,18
37,34,26,18
38,34,26,18
39,34,26,18
40,34,26,18
41,34,26,18
42,34,26,18
43,34,26,18
44,34,26,18
45,34,26,18
46,34,26,18
47,34,26,18
48,34,26,18
49,34,26,18
50,34,26,18
51,34,26,18
52,34,26,18
53,34,26,18
54,34,26,18
55,34,26,18
56,34,26,18
57,34,26,18
58,34,26,18
59,34,26,18
60,34,26,18
61,34,26,18
62,34,26,18
63,34,26,18
64,34,26,18
65,34,26,18
66,33,27,18
67,33,27,18
68,33,27,18
69,33,27,18
70,33,27,18
71,33,27,18
72,33,26,19
73,33,26,19
74,33,26,19
75,33,26,19
76,33,26,19
77,33,26,19
78,33,26,19
79,33,26,19
80,33,26,19
81,33,26,19
82,33,26,19
83,33,26,19
84,33,26,19
85,33,26,19
86,33,26,19
87,33,26,19
88,33,26,19
89,33,26,19
90,33,26,19
91,33,26,19
92,33,26,19
93,33,26,19
94,33,26,19
95,33,26,19
96,33,26,19
97,33,26,19
98,33,26,19
99,33,26,19
100,33,26,19
101,33,25,20
102,33,25,20
103,33,25,20
104,33,25,20
105,33,25,20
106,33,25,20
107,33,25,20
108,33,25,20
109,33,25,20
110,33,25,20
111,33,25,20
112,32,26,20
113,32,26,20
114,32,26,20
115,32,26,20
116,32,26,20
117,32,26,20
118,32,26,20
119,32,26,20
120,32,26,20
121,32,26,20
122,32,26,20
123,32,26,20
124,32,26,20
125,32,26,20
126,32,26,20
127,32,26,20
128,32,26,20
129,32,26,20
130,32,26,20
131,32,26,20
132,32,26,20
133,32,26,20
134,32,26,20
135,32,26,20
136,32,26,20
137,32,26,20
138,32,26,20
139,32,26,20
140,32,26,20
141,32,26,20
142,32,26,20
143,32,26,20
144,32,26,20
145,32,26,20
146,32,26,20
147,32,26,20
148,32,26,20
149,32,26,20
150,32,26,20
151,32,26,20
152,32,26,20
153,32,26,20
154,32,26,20
155,32,26,20
156,32,26,20
157,32,26,20
158,32,26,20
159,32,26,20
160,32,26,20
161,32,26,20
162,32,26,20
163,32,26,20
164,32,26,20
165,32,26,20
166,32,26,20
167,32,26,20
168,32,26,20
169,32,26,20
170,32,26,20
171,32,26,20
172,32,26,20
173,32,26,20
174,32,26,20
175,32,26,20
176,32,26,20
177,32,26,20
178,31,27,20
179,31,27,20
180,31,27,20
181,31,27,20
182,31,27,20
183,31,28,20
184,31,28,20
185,31,28,20
186,31,28,20
187,31,28,20
188,31,28,20
189,31,28,20
190,31,28,20
191,31,28,20
192,31,28,20
193,31,28,20
194,31,28,20
195,31,28,20
196,31,28,20
197,31,28,20
198,31,28,20
199,31,28,20
200,31,28,20
201,31,28,20
202,31,28,20
203,31,28,20
204,31,28,20
205,31,28,20
206,31,28,20
207,31,28,20
208,31,28,20
209,31,28,20
210,31,28,20
211,31,28,20
212,31,28,20
213,31,28,20
214,31,28,20
215,31,28,20
216,31,29,20
217,31,29,20
218,31,29,20
219,31,29,20
220,31,29,20
221,31,29,20
222,31,29,20
223,31,29,20
224,31,29,20
225,31,29,20
226,31,30,20
227,31,30,20
228,31,30,20
229,31,30,20
230,31,30,20
231,31,30,20
232,31,30,20
233,31,30,20
234,31,30,20
235,31,30,20
236,31,30,20
237,31,30,20
238,31,30,20
239,31,30,20
240,31,30,20
241,31,30,20
242,31,30,20
243,31,30,20
244,31,30,20
245,31,30,20
246,31,30,20
247,31,30,20
248,31,30,20
249,31,30,20
250,31,30,20
251,31,30,20
252,31,31,20
253,31,31,20
254,31,31,20
255,31,31,20
256,31,31,20
257,31,31,20
258,31,31,20
259,31,31,20
260,31,31,20
261,31,31,20
262,31,31,20
263,31,31,20
264,31,31,20
265,31,31,20
266,31,31,20
267,31,31,20
268,31,31,20
269,31,31,20
270,31,31,20
271,31,31,20
272,31,31,20
273,31,31,20
274,31,31,20
275,31,31,20
276,31,32,20
