Index,Hunt,Prey
0,10,19
1,10,19
2,10,19
3,10,19
4,10,19
5,10,19
6,10,19
7,10,20
8,10,20
9,10,20
10,10,20
11,10,20
12,10,20
13,10,20
14,10,20
15,10,20
16,10,20
17,10,20
18,10,20
19,10,20
20,10,20
21,10,20
22,10,20
23,10,20
24,10,20
25,10,20
26,10,20
27,10,20
28,10,20
29,10,20
30,10,20
31,10,20
32,10,20
33,10,20
34,10,20
35,10,20
36,11,19
37,11,20
38,11,20
39,11,20
40,11,20
41,11,20
42,11,20
43,11,20
44,11,20
45,11,20
46,11,20
47,11,20
48,12,19
49,12,20
50,12,20
51,12,20
52,12,20
53,12,20
54,12,20
55,12,20
56,12,20
57,12,20
58,12,20
59,12,20
60,13,19
61,13,19
62,13,19
63,13,19
64,13,19
65,13,19
66,13,19
67,13,19
68,13,19
69,13,19
70,13,19
71,13,19
72,13,19
73,13,19
74,13,19
75,13,19
76,13,19
77,13,19
78,13,19
79,13,19
80,13,19
81,13,19
82,13,19
83,13,19
84,13,19
85,13,19
86,14,18
87,14,18
88,14,18
89,14,18
90,14,18
91,14,18
92,14,18
93,14,18
94,14,18
95,14,18
96,14,18
97,14,18
98,14,18
99,14,18
100,14,18
101,14,18
102,14,18
103,14,18
104,14,18
105,14,19
106,14,19
107,14,19
108,14,19
109,14,19
110,14,19
111,14,19
112,15,18
113,15,18
114,15,18
115,15,18
116,16,17
117,17,16
118,18,15
119,21,12
120,21,12
121,21,12
122,21,12
123,21,12
124,21,12
125,21,12
126,21,12
127,20,12
128,20,12
129,20,12
130,20,12
131,20,12
132,20,12
133,20,12
134,20,12
135,20,12
136,20,12
137,20,12
138,20,12
139,20,12
140,20,12
141,20,12
142,20,12
143,20,12
144,20,12
145,20,13
146,20,13
147,20,13
148,20,13
149,20,13
150,20,13
151,20,13
152,20,13
153,20,13
154,20,13
155,20,13
156,20,13
157,20,13
158,20,13
159,20,13
160,19,13
161,19,13
162,19,13
163,19,13
164,19,13
165,19,13
166,19,13
167,19,13
168,19,13
169,19,13
170,19,13
171,19,13
172,19,13
173,19,13
174,19,13
175,19,13
176,19,13
177,18,13
178,18,13
179,18,13
180,18,13
181,18,13
182,18,13
183,18,13
184,18,13
185,18,13
186,18,13
187,18,13
188,18,13
189,18,13
190,18,13
191,18,13
192,18,13
193,18,13
194,18,13
195,17,13
196,17,13
197,17,13
198,17,13
199,17,13
200,17,14
201,17,14
202,17,14
203,17,14
204,17,14
205,17,14
206,17,14
207,17,14
208,17,14
209,17,14
210,17,14
211,17,14
212,17,14
213,17,14
214,17,15
215,17,15
216,17,15
217,17,15
218,17,15
219,17,15
220,17,15
221,17,15
222,17,15
223,17,15
224,17,15
225,17,15
226,17,15
227,17,15
228,17,15
229,17,15
230,17,15
231,17,15
232,17,15
233,17,15
234,17,15
235,17,15
236,17,15
237,17,15
238,17,15
239,17,16
240,17,16
241,17,16
242,17,16
243,17,16
244,17,16
245,17,16
246,17,16
247,17,16
248,17,16
249,17,16
250,17,16
251,17,16
252,17,16
253,17,16
254,17,16
255,17,16
256,17,16
257,17,16
258,17,16
259,17,16
260,17,16
261,17,16
262,17,16
263,17,16
264,17,16
265,17,16
266,17,16
267,17,16
268,17,16
269,17,16
270,17,16
271,17,16
272,17,16
273,17,16
274,17,16
275,16,16
276,16,16
277,16,16
278,16,16
279,16,16
280,16,16
281,16,16
282,16,16
283,16,16
284,16,16
285,16,16
286,16,16
287,16,16
288,15,16
289,15,16
290,15,16
291,15,16
292,15,16
293,15,16
294,15,16
295,15,16
296,16,15
297,16,15
298,16,15
299,16,15
300,16,15
301,16,15
302,16,15
303,16,15
304,16,15
305,16,15
306,16,15
307,16,15
308,16,15
309,16,15
310,16,15
311,16,15
312,16,15
313,16,15
314,16,15
315,16,15
316,16,15
317,16,15
318,16,15
319,16,15
320,16,15
321,16,15
322,16,15
323,16,15
324,16,15
325,16,15
326,16,15
327,16,15
328,16,15
329,16,15
330,17,14
331,17,15
332,17,15
333,17,15
334,17,15
335,17,15
336,17,15
337,17,15
338,17,15
339,17,16
340,17,16
341,17,16
342,17,16
343,17,16
344,17,16
345,17,16
346,17,16
347,17,16
348,17,16
349,17,16
350,17,16
351,17,16
352,17,16
353,18,15
354,18,15
355,18,15
356,18,15
357,18,15
358,19,14
359,20,13
360,21,12
361,22,11
362,22,11
363,22,9
364,22,9
365,22,9
366,22,9
367,22,9
368,22,9
369,22,9
370,22,9
371,23,8
372,23,8
373,23,8
374,23,8
375,23,8
376,23,8
377,23,8
378,23,8
379,23,8
380,23,8
