Time_Frame,Grass,Prey,Hunter
0,35,25,15
1,35,25,15
2,35,25,15
3,35,25,14
4,35,25,14
5,35,25,14
6,35,25,14
7,35,25,14
8,35,25,14
9,35,25,14
10,35,25,14
11,35,25,14
12,35,25,14
13,35,25,14
14,35,25,14
15,35,25,14
16,35,25,14
17,35,25,14
18,35,25,14
19,35,25,14
20,35,25,14
21,35,25,14
22,35,25,14
23,35,25,14
24,35,25,14
25,35,26,14
26,35,26,14
27,35,26,14
28,35,26,14
29,35,26,14
30,35,26,14
31,35,26,14
32,35,26,14
33,35,26,14
34,35,26,14
35,35,26,14
36,35,26,14
37,35,26,14
38,35,26,14
39,35,26,14
40,35,26,14
41,35,26,14
42,35,26,14
43,35,26,14
44,35,26,14
45,35,26,14
46,35,26,14
47,35,26,14
48,35,26,14
49,35,26,14
50,35,26,14
51,35,26,14
52,35,26,14
53,35,26,14
54,35,26,14
55,35,26,14
56,35,26,14
57,35,26,14
58,35,26,14
59,35,26,14
60,35,26,14
61,35,26,14
62,35,26,14
63,35,26,14
64,35,26,14
65,35,26,14
66,35,26,14
67,35,26,14
68,35,26,14
69,35,26,14
70,35,26,14
71,35,26,14
72,35,26,14
73,35,26,14
74,35,26,14
75,35,26,14
76,35,26,14
77,35,26,14
78,35,26,14
79,35,26,14
80,35,26,14
81,35,26,14
82,35,26,14
83,35,25,15
84,35,25,15
85,35,25,15
86,35,25,15
87,35,25,15
88,35,25,15
89,35,25,15
90,35,25,15
91,35,25,15
92,35,25,15
93,35,25,15
94,35,25,15
95,35,25,15
96,35,25,15
97,35,25,15
98,35,25,15
99,35,25,15
100,35,25,15
101,35,26,15
102,35,26,15
103,35,26,15
104,35,26,15
105,35,26,14
106,35,27,14
107,35,27,14
108,35,27,14
109,35,27,14
110,35,27,14
111,35,27,14
112,35,27,14
113,35,27,14
114,35,27,14
115,35,27,14
116,35,27,14
117,35,27,14
118,35,27,14
119,35,27,14
120,35,27,14
121,35,27,14
122,34,28,14
123,34,28,14
124,34,28,14
125,34,28,14
126,34,28,14
127,34,28,14
128,34,28,14
129,34,28,14
130,34,28,14
131,34,28,14
132,34,28,14
133,34,28,14
134,34,28,14
135,34,28,14
136,34,28,14
137,34,28,14
138,34,28,14
139,34,28,14
140,34,28,14
141,34,28,14
142,34,28,14
143,34,28,14
144,34,28,14
145,34,28,14
146,34,29,14
147,34,29,14
148,34,29,14
149,34,29,14
150,34,29,14
151,34,28,15
152,33,29,15
153,33,29,15
154,33,29,15
155,33,29,15
156,33,29,15
157,33,29,15
158,33,29,15
159,33,29,15
160,33,29,15
161,33,30,15
162,33,30,15
163,33,30,15
164,33,30,15
165,33,30,15
166,33,30,15
167,33,30,15
168,33,30,15
169,33,30,15
170,33,30,15
171,33,30,15
172,33,30,15
173,33,30,15
174,33,30,15
175,33,30,15
176,33,30,15
177,33,30,15
178,33,30,15
179,33,30,15
180,33,29,16
181,33,29,16
182,33,29,16
183,33,29,16
184,33,29,16
185,33,29,16
186,33,29,16
187,33,29,16
188,33,28,18
189,33,28,18
190,33,28,18
191,33,28,18
192,33,28,18
193,33,28,18
194,33,28,18
195,33,28,18
196,33,28,18
197,33,28,18
198,33,28,18
199,33,28,18
200,33,28,18
201,33,28,18
202,33,28,18
203,33,28,18
204,33,28,18
205,33,28,18
206,33,28,18
207,33,28,18
208,33,28,17
209,33,28,17
210,33,28,17
211,33,28,17
212,33,28,17
213,33,28,17
214,33,28,17
215,33,28,17
216,33,29,17
217,33,29,16
218,33,29,16
219,33,30,16
220,33,30,16
221,33,30,16
222,33,30,16
223,33,30,16
224,33,30,16
225,33,30,16
226,33,30,16
227,33,30,16
228,33,30,16
229,33,30,16
230,33,30,16
231,33,30,16
232,33,30,16
233,33,30,16
234,33,30,16
235,33,30,16
236,33,30,16
237,33,30,16
238,33,30,16
239,33,29,17
240,33,29,17
241,33,29,17
242,32,30,17
243,32,30,17
244,32,30,17
245,32,30,17
246,32,30,17
247,32,30,17
248,32,30,17
249,32,30,17
250,32,30,17
251,32,30,17
252,32,32,17
253,32,32,17
254,32,32,17
255,32,32,17
256,32,32,17
257,32,32,17
258,32,32,17
259,32,32,17
260,32,32,17
261,32,32,17
262,32,31,18
263,32,31,18
264,32,31,18
265,32,31,18
266,32,31,18
267,32,31,18
268,32,31,18
269,32,31,18
270,32,31,18
271,32,31,18
272,32,31,18
273,32,31,17
274,32,31,17
275,32,31,17
276,32,31,17
277,32,31,17
278,32,31,17
279,32,31,17
280,32,31,17
281,32,31,17
282,32,31,17
283,32,31,17
284,32,31,17
285,32,31,17
286,32,31,17
287,32,31,17
288,32,31,17
289,32,31,17
290,32,31,17
291,32,31,17
292,32,31,17
293,32,31,17
294,32,31,17
295,32,31,17
296,32,31,17
297,32,31,17
298,32,31,17
299,32,31,17
300,32,31,17
301,32,32,17
302,32,32,17
303,32,32,17
304,32,32,17
305,32,32,17
306,32,32,17
307,32,32,17
308,32,32,17
309,32,32,17
310,32,32,17
311,32,32,17
312,32,32,17
313,32,32,17
314,32,32,17
315,32,32,17
316,32,32,17
317,32,32,17
318,32,32,17
319,32,32,17
320,32,32,17
321,32,32,17
322,32,32,17
323,32,32,17
324,32,32,17
325,32,32,17
326,32,32,17
327,32,32,17
328,32,32,17
329,32,32,17
330,32,32,17
331,32,32,17
332,32,32,17
333,32,32,17
334,32,32,17
335,32,32,17
336,32,32,17
337,32,32,17
338,32,32,17
339,32,32,17
340,32,32,17
341,32,32,17
342,32,32,17
343,32,32,17
344,32,32,17
345,32,32,17
346,32,32,17
347,32,32,17
348,32,32,17
349,32,32,17
350,32,32,17
351,32,32,17
352,32,32,17
353,32,32,17
354,32,32,17
355,32,32,17
356,32,32,17
357,32,32,17
358,32,32,17
359,32,32,17
360,32,32,17
361,32,32,17
362,32,32,17
363,32,32,17
364,32,32,17
365,32,32,17
366,32,32,17
367,32,32,17
368,32,32,16
369,32,32,16
370,32,32,16
371,32,32,16
372,32,32,16
373,32,32,16
374,32,32,16
375,32,32,15
376,32,32,14
377,32,32,14
378,32,32,14
379,32,32,14
380,32,32,14
381,32,32,14
382,32,32,14
383,32,32,14
384,32,32,14
385,32,32,14
386,32,32,14
387,32,32,14
388,32,32,14
389,32,32,14
390,32,32,14
391,32,32,14
392,32,32,14
393,32,32,14
394,32,32,14
395,32,32,14
396,32,31,15
397,32,31,15
398,32,31,15
399,32,30,16
400,32,30,16
401,32,30,16
402,32,30,16
403,32,30,16
404,32,30,16
405,32,30,16
406,32,30,16
407,32,30,16
408,32,30,16
409,32,30,16
410,32,30,16
411,32,30,16
412,32,30,16
413,32,29,18
414,32,29,18
415,32,29,18
416,32,29,18
417,32,29,18
418,32,29,18
419,32,29,18
420,32,29,18
421,32,29,18
422,32,29,18
423,32,29,18
424,32,29,18
425,32,29,18
426,32,29,18
427,32,29,18
428,32,29,18
429,32,29,18
430,32,29,18
431,31,30,18
432,31,30,18
433,31,30,18
