Time_Frame,Grass,Prey,Hunter
0,20,20,10
1,20,20,10
2,20,20,10
3,20,21,10
4,20,21,10
5,20,21,10
6,20,21,10
7,20,21,10
8,20,21,10
9,20,21,10
10,20,21,10
11,20,21,10
12,20,21,10
13,20,21,10
14,20,21,10
15,20,21,10
16,20,21,10
17,20,21,10
18,20,21,10
19,20,21,10
20,20,21,10
21,20,21,10
22,20,21,10
23,20,21,10
24,20,21,10
25,20,21,10
26,20,21,10
27,20,21,10
28,20,21,10
29,20,21,10
30,20,21,10
31,20,21,10
32,20,21,10
33,20,21,10
34,20,21,10
35,20,21,10
36,20,21,10
37,20,21,10
38,20,21,10
39,20,21,10
40,20,21,10
41,20,21,10
42,20,21,10
43,20,21,10
44,20,21,10
45,20,21,10
46,20,21,10
47,20,21,10
48,20,21,10
49,20,21,10
50,20,21,10
51,20,21,10
52,20,21,10
53,20,21,10
54,20,21,10
55,20,21,10
56,20,21,10
57,20,21,10
58,20,21,10
59,20,22,10
60,20,22,10
61,20,22,10
62,20,22,10
63,20,22,10
64,20,22,10
65,20,22,10
66,20,22,10
67,20,22,10
68,20,22,10
69,20,21,11
70,20,21,11
71,20,21,11
72,20,21,11
73,20,21,11
74,20,21,11
75,20,21,11
76,20,21,11
77,20,21,11
78,20,21,11
79,20,21,11
80,20,21,11
81,20,21,11
82,20,21,11
83,20,21,11
84,20,21,11
85,20,21,11
86,20,21,11
87,20,21,11
88,20,21,11
89,20,21,11
90,20,21,11
91,20,21,11
92,20,21,11
93,20,21,11
94,20,21,11
95,20,21,11
96,20,21,11
97,20,21,11
98,20,21,11
99,20,20,12
100,20,20,12
101,20,20,12
102,20,20,12
103,20,20,12
104,20,20,12
105,20,20,12
106,20,20,12
107,20,20,12
108,20,20,12
109,20,20,12
110,20,20,12
111,20,20,12
112,20,20,12
113,20,20,12
114,20,20,12
115,20,20,12
116,20,20,12
117,20,20,12
118,20,20,12
119,20,20,12
120,20,20,12
121,20,20,12
122,20,20,12
123,20,20,12
124,20,20,12
125,20,20,12
126,20,20,12
127,20,20,12
128,20,20,12
129,20,20,12
130,20,20,12
131,20,20,12
132,20,20,12
133,20,20,12
134,20,20,12
135,20,20,12
136,20,19,13
137,20,19,13
138,20,19,13
139,20,19,13
140,20,19,13
141,20,19,13
142,20,19,13
143,20,19,13
144,20,20,12
145,20,20,12
146,20,20,12
147,20,20,12
148,20,20,12
149,20,20,12
150,20,20,12
151,20,20,12
152,20,20,12
153,20,20,12
154,20,20,12
155,20,20,12
156,20,20,12
157,20,20,12
158,20,20,12
159,20,20,12
160,20,20,12
161,20,20,12
162,20,20,12
163,20,20,12
164,20,20,12
165,20,20,12
166,20,20,12
167,20,20,12
168,20,20,12
169,20,20,12
170,20,20,12
171,20,20,12
172,20,20,12
173,20,20,12
174,20,20,12
175,20,20,12
176,20,20,12
177,20,20,12
178,20,20,12
179,20,20,12
180,20,20,12
181,20,20,12
182,20,20,12
183,20,20,12
184,20,20,12
185,20,20,12
186,20,20,12
187,20,20,12
188,20,20,12
189,20,20,12
190,20,20,12
191,20,20,12
192,20,20,12
193,20,20,12
194,20,20,12
195,20,20,12
196,20,20,12
197,20,20,12
198,20,20,12
199,20,20,12
200,20,20,12
201,20,20,12
202,20,20,12
203,20,20,12
204,20,20,12
205,20,20,12
206,20,20,12
207,20,20,12
208,20,20,12
209,20,20,12
210,20,20,12
211,20,20,12
212,20,20,12
213,20,20,12
214,20,20,12
215,20,20,12
216,20,20,12
217,20,20,12
218,20,20,12
219,20,20,12
220,20,20,12
221,20,20,12
222,20,20,12
223,20,20,12
224,20,20,12
225,20,20,12
226,20,20,12
227,20,20,12
228,20,20,12
229,20,20,12
230,20,20,12
231,20,20,12
232,20,20,12
233,20,20,12
234,20,20,12
235,20,20,12
236,20,20,12
237,20,20,12
238,20,20,12
239,20,20,12
240,20,20,12
241,20,20,12
242,20,20,12
243,20,20,12
244,20,20,12
245,20,20,12
246,20,20,12
247,20,20,12
248,20,20,12
249,20,20,12
250,20,20,12
251,20,20,12
252,20,20,12
253,20,20,12
254,20,20,12
255,20,20,12
256,20,20,12
257,20,20,12
258,20,20,12
259,20,20,12
260,20,20,12
261,20,20,12
262,20,20,12
263,20,20,12
264,20,20,12
265,20,20,12
266,20,20,12
267,20,20,12
268,20,20,12
269,20,20,12
