Time_Frame,Grass,Prey,Hunter
0,35,25,16
1,35,25,16
2,35,25,16
3,35,25,16
4,35,25,16
5,35,25,16
6,35,25,16
7,35,25,16
8,35,25,16
9,35,25,16
10,35,25,16
11,35,25,16
12,35,25,16
13,35,25,16
14,35,25,16
15,35,25,16
16,35,25,16
17,35,25,16
18,35,25,16
19,35,25,16
20,35,25,16
21,35,25,16
22,35,24,17
23,35,24,17
24,35,24,17
25,35,24,17
26,34,25,17
27,34,25,17
28,34,25,17
29,34,26,17
30,34,26,17
31,34,26,17
32,34,26,17
33,34,26,17
34,34,26,17
35,34,26,17
36,34,26,17
37,34,26,17
38,34,26,17
39,34,26,17
40,34,26,17
41,34,26,17
42,34,25,18
43,34,25,18
44,34,25,18
45,34,25,18
46,34,25,18
47,34,25,18
48,33,26,18
49,33,26,18
50,33,26,18
51,33,26,18
52,33,26,18
53,33,26,18
54,33,27,18
55,33,27,18
56,33,27,18
57,33,27,18
58,33,27,18
59,33,27,18
60,33,27,18
61,33,27,18
62,33,27,18
63,33,27,18
64,33,27,18
65,33,27,18
66,33,27,18
67,33,26,20
68,33,26,20
69,33,26,20
70,33,26,20
71,33,26,20
72,33,26,20
73,33,26,20
74,33,26,20
75,33,26,20
76,33,26,20
77,33,26,20
78,33,26,20
79,33,26,20
80,33,26,20
81,33,26,20
82,33,26,20
83,33,26,20
84,33,26,20
85,33,26,20
86,33,26,20
87,33,26,20
88,33,26,20
89,33,26,20
90,33,26,20
91,33,26,20
92,33,26,20
93,33,26,20
94,33,26,20
95,33,26,20
96,33,26,20
97,33,26,20
98,33,26,20
99,33,26,20
100,33,26,20
101,33,26,20
102,33,26,20
103,33,26,20
104,33,26,20
105,33,26,20
106,33,26,20
107,33,26,20
108,33,26,20
109,33,26,20
110,33,26,20
111,33,26,20
112,33,26,20
113,33,26,20
114,33,26,20
115,32,27,20
116,32,27,20
117,32,27,20
118,32,27,20
119,32,27,20
120,32,28,20
121,32,28,20
122,32,28,20
123,32,28,20
124,32,28,20
125,32,28,20
126,32,28,20
127,32,28,20
128,32,28,20
129,32,28,20
130,32,28,20
131,32,28,20
132,32,28,20
133,32,28,20
134,32,28,20
135,32,29,20
136,32,29,20
137,32,29,20
138,32,29,20
139,32,29,20
140,32,29,20
141,32,29,20
142,32,29,20
143,32,29,20
144,32,29,20
145,32,29,20
146,32,29,20
147,32,29,20
148,32,29,20
149,32,29,20
150,32,29,20
151,32,29,20
152,32,29,20
153,32,29,20
154,32,29,20
155,32,29,20
156,32,29,20
157,32,29,20
158,32,29,20
159,32,29,20
160,32,29,20
161,32,29,20
162,32,29,20
163,32,29,20
164,32,29,20
165,32,29,20
166,32,29,20
167,32,29,20
168,32,29,20
169,32,29,20
170,32,29,20
171,32,29,20
172,32,29,20
173,32,29,20
174,32,29,20
175,32,29,20
176,32,29,20
177,32,29,20
178,32,29,20
179,32,29,20
180,32,29,20
181,32,29,20
182,31,30,20
183,31,30,20
184,31,30,20
185,31,30,20
186,31,30,20
187,31,30,20
188,31,30,20
189,31,30,20
190,31,30,20
191,31,30,20
192,31,30,20
193,31,30,20
194,31,30,20
195,31,30,20
196,31,30,20
197,31,30,20
198,31,30,20
199,31,30,20
200,31,30,20
201,31,30,21
202,31,30,21
203,31,30,21
204,31,30,21
205,31,30,21
206,31,30,21
207,31,30,21
208,31,30,21
209,31,30,21
210,30,31,21
211,30,31,21
212,30,31,21
213,30,31,21
214,30,31,21
215,30,31,21
216,30,31,21
217,30,32,21
218,30,32,21
219,30,32,21
220,30,31,22
221,30,31,22
222,30,31,22
223,30,31,22
224,30,31,22
225,30,31,22
226,30,31,22
227,30,31,22
228,30,31,22
229,30,31,22
230,30,31,22
231,30,31,22
232,30,30,23
233,30,30,23
234,30,30,23
235,30,30,23
236,30,30,23
237,30,30,23
238,30,30,24
239,30,30,24
240,30,30,24
241,30,30,24
242,30,30,24
243,30,30,24
244,30,29,25
245,30,29,25
246,30,29,25
247,30,29,25
248,30,29,25
249,30,29,25
250,30,29,25
251,30,29,25
252,30,29,25
253,30,29,25
254,30,29,25
255,30,29,25
256,30,29,25
257,30,29,25
258,30,29,25
259,30,29,25
