Experiment2,Peaks2,,,,,,STD_20,standardized,coef,Experiment combined,Peaks combined,,,,,,,STD_combined,coef combined,,Experiment nest,Peaks nest,,,,,,,,std nests,coef nest,,,,Experiment combined,Peaks GENDER,,,,STD_gender,coef gender
0,249,84,136,173,,,69.38059287,-0.703604979,5.765300979,0,95,136,172,,,,,38.52704678,7.786737503,-1.168377093,1,96,164,88,148,3,90,,,56.65480268,10.59045256,,,,0,83,28,,,38.89087297,5.142594772
1,189,117,83,78,28,128,54.52124968,0.358626107,11.00488348,1,102,178,155,98,65,94,,42.34934081,14.16787106,-0.398600285,2,141,97,55,73,41,68,,,35.6225584,16.84325964,,,,1,72,20,,,36.76955262,5.439282932
2,181,122,86,21,108,,58.05428494,-0.126360513,8.612628689,2,137,150,61,112,105,139,,32.48794648,18.46838797,0.120184998,3,90,79,78,55,73,,,,12.78671185,39.10309435,,,,2,76,,,,76,1.315789474
3,161,107,136,83,95,,31.76161205,1.319046805,15.74227401,3,108,169,117,104,124,124,,23.36378965,25.68076537,0.990237442,4,144,146,75,90,89,68,,,34.34530536,17.4696365,,,,3,76,58,,,12.72792206,15.71348403
4,150,122,54,294,1620,,660.9871406,-1.719060541,0.756444368,4,124,122,174,166,87,126,,32.052561,18.71925304,0.150447664,5,130,107,142,96,,,,,20.99801578,19.04941896,,,,4,79,8,,,50.20458146,3.983700176
5,184,136,143,74,54,,53.23720504,0.031628415,9.391928064,5,87,184,169,105,99,74,,45.53533427,13.17658055,-0.518182869,6,123,149,162,73,145,122,,,31.51507576,19.0385073,,,,5,66,29,,,26.1629509,7.644397634
6,129,86,99,181,,,42.20090836,0.049173025,9.47846896,6,109,133,110,67,60,96,,27.82385068,21.56423304,0.493646814,7,125,189,168,195,22,,,,71.34213341,7.008481189,,,,6,79,27,,,36.76955262,5.439282932
7,151,79,90,91,34,,41.75523919,0.555207579,11.97454522,7,101,92,81,75,40,52,,23.41580663,25.6237169,0.9833555,8,147,151,151,56,590,2603,,,991.4489733,0.605174866,,,,7,82,28,7,,38.69108424,7.753724297
8,191,244,69,56,94,,82.47241963,-0.643326292,6.062632844,8,97,80,116,77,122,116,,19.61292091,30.59207768,1.582704952,9,121,121,142,95,136,,,,18.17965896,27.50326621,,,,8,67,13,,,38.18376618,5.237828009
9,178,208,37,156,61,,74.92329411,-0.519485599,6.673491949,9,122,109,107,78,112,62,,23.10555489,25.96778147,1.024861123,10,115,122,169,123,96,45,,,40.55449009,14.79490924,,,,9,75,21,,,38.18376618,5.237828009
10,166,178,100,103,174,,39.23263947,0.711300126,12.74449047,10,52,93,74,93,101,108,,20.50772212,29.25727179,1.421682995,11,101,90,61,98,18,119,,,36.28452379,16.5359756,,,,10,78,105,884,,457.7492035,0.655380714
11,325,3,,,,,227.6883835,-1.694337545,0.878393517,11,90,91,129,188,44,75,30,53.26930681,13.14077547,-0.522502153,12,138,101,154,99,20,329,,,103.4628758,5.799181546,,,,11,58,,,,58,1.724137931
12,315,119,79,41,,,121.9002324,-1.207176906,3.281371922,12,107,104,229,104,130,47,,59.98472028,10.00254727,-0.901076784,13,178,143,185,88,153,81,,,44.28995371,13.54709025,,,,12,56,640,,,412.9503602,0.484319713
13,164,112,185,133,,,32.37797605,0.632150761,12.35407671,13,104,161,86,,,,,39.1535439,7.662141664,-1.183407492,14,157,79,108,109,138,28,,,45.61322908,13.15407859,,,,13,58,,,,58,1.724137931
14,173,131,122,164,81,,36.68378388,0.890821393,13.6300007,14,75,82,90,,,,,7.505553499,39.97040325,2.71404274,15,153,111,157,,,,,,25.4820198,11.7730071,,,,14,72,,,,72,1.388888889
15,96,97,200,,,,59.75784467,-0.854648352,5.020261384,15,106,112,144,142,117,59,,30.93002856,19.39862418,0.232402405,16,114,117,90,156,154,95,,,28.34078333,21.17090389,,,,15,70,14,,,39.59797975,5.050762723
16,103,160,84,68,185,,50.28419235,0.143446208,9.943482766,16,104,135,160,52,86,,,42.03332012,11.89532491,-0.672744887,17,89,140,151,116,84,103,,,27.18394134,22.07185458,,,,16,65,,,,65,1.538461538
17,180,119,100,103,58,,44.19841626,0.421014664,11.31262254,17,49,107,104,89,173,4,,57.30503177,10.47028475,-0.844652098,18,153,141,222,41,244,,,,79.79786965,6.265831434,,,,17,85,32,,,37.4766594,5.336654952
18,142,117,85,109,77,,26.01922366,2.023395995,19.21656105,18,174,91,74,52,105,,,46.25689138,10.80920021,-0.803767628,19,98,250,86,126,76,131,51,,64.96775757,10.77457536,,,,18,73,,,,73,1.369863014
19,128,18,176,118,52,51,59.61795032,0.167895734,10.064083,19,167,183,142,89,60,112,,47.12854761,12.73113708,-0.571918158,20,149,117,151,95,161,179,,,30.63984334,19.58234555,,,,19,68,38,,,21.21320344,9.428090416
20,200,206,2,10,318,1665,631.6785311,-1.679850981,0.949850233,20,136,203,178,123,191,140,,33.0418926,18.15876612,0.082834311,21,142,145,115,141,182,119,,,23.90536899,25.09896418,,,,20,64,20,,,31.11269837,6.428243465
21,147,116,160,303,130,,75.54270316,-0.530578892,6.618772947,21,115,101,124,150,84,69,,29.02010797,20.67531935,0.386414278,22,151,127,28,86,85,106,,,42.24413174,14.20315616,,,,21,75,32,,,30.40559159,6.577737499
22,183,195,88,89,47,,65.01384468,-0.313271127,7.690669618,22,197,239,200,59,59,286,,94.25638794,6.365616306,-1.339811545,23,147,118,198,243,59,,,,71.10203935,7.032147102,,,,22,56,,,,56,1.785714286
23,133,119,100,89,67,,25.72547376,2.067880867,19.43598803,23,142,67,135,64,101,89,,33.15217439,18.0983604,0.075547373,24,127,155,93,15,77,47,,,51.25101625,11.70708493,,,,23,60,13,,,33.23401872,6.017930053
24,152,95,150,121,25,,52.26184076,0.067163652,9.567209893,24,122,142,133,74,109,125,,24.00624919,24.99349213,0.907329445,25,126,145,180,102,117,27,,,51.29294948,11.6975141,,,,24,59,,,,59,1.694915254
25,198,177,140,13,173,,74.07901187,-0.504066183,6.749550073,25,79,89,92,154,150,116,,32.34604561,18.54940809,0.129958717,26,235,179,146,176,27,388,,,118.3476517,5.069809086,,,,25,65,,,,65,1.538461538
