Experiment combined,Peaks combined,,,,,,
1,96,164,88,148,3,90,
2,141,97,55,73,41,68,
3,90,79,78,55,73,,
4,144,146,75,90,89,68,
5,130,107,142,96,,,
6,123,149,162,73,145,122,
7,125,189,168,195,22,,
8,147,151,151,56,590,2603,
9,121,121,142,95,136,,
10,115,122,169,123,96,45,
11,101,90,61,98,18,119,
12,138,101,154,99,20,329,
13,178,143,185,88,153,81,
14,157,79,108,109,138,28,
15,153,111,157,,,,
16,114,117,90,156,154,95,
17,89,140,151,116,84,103,
18,153,141,222,41,244,,
19,98,250,86,126,76,131,51
20,149,117,151,95,161,179,
21,142,145,115,141,182,119,
22,151,127,28,86,85,106,
23,147,118,198,243,59,,
24,127,155,93,15,77,47,
25,126,145,180,102,117,27,
26,235,179,146,176,27,388,
27,96,60,110,74,89,160,
28,191,147,97,61,63,21,
29,126,96,123,255,210,887,
30,112,190,105,65,,,
