0,1,2,3,4,5
0,0,117,741,0,Prey
0,1,165,26,0,Prey
0,2,684,441,0,Prey
0,3,345,524,0,Prey
0,4,249,696,0,Prey
0,5,347,311,0,Prey
0,6,29,73,0,Prey
0,7,69,237,0,Prey
0,8,117,58,0,Prey
0,9,491,687,0,Prey
0,10,648,183,0,Prey
0,11,93,383,0,Prey
0,12,509,602,0,Prey
0,13,236,518,0,Prey
0,14,665,55,0,Prey
0,15,417,164,0,Prey
0,16,56,447,0,Prey
0,17,404,733,0,Prey
0,18,213,704,0,Prey
0,19,26,223,0,Prey
0,20,392,329,0,Hunter
0,21,193,442,0,Hunter
0,22,209,529,0,Hunter
0,23,561,527,0,Hunter
0,24,567,538,0,Hunter
0,25,297,517,0,Hunter
0,26,567,284,0,Hunter
0,27,571,303,0,Hunter
0,28,716,668,0,Hunter
0,29,233,7,0,Hunter
0,30,686,584,0,Grass
0,31,186,204,0,Grass
0,32,112,524,0,Grass
0,33,178,72,0,Grass
0,34,341,498,0,Grass
0,35,361,60,0,Grass
0,36,246,214,0,Grass
0,37,138,489,0,Grass
0,38,34,85,0,Grass
0,39,150,525,0,Grass
0,40,638,367,0,Grass
0,41,350,566,0,Grass
0,42,27,718,0,Grass
0,43,286,610,0,Grass
0,44,203,721,0,Grass
1,0,117,741,0,Prey
1,1,165,26,0,Prey
1,2,684,440,0,Prey
1,3,345,523,0,Prey
1,4,248,696,0,Prey
1,5,347,311,0,Prey
1,6,29,73,0,Prey
1,7,70,237,0,Prey
1,8,117,58,0,Prey
1,9,491,687,0,Prey
1,10,647,183,0,Prey
1,11,93,383,0,Prey
1,12,508,601,0,Prey
1,13,236,518,0,Prey
1,14,666,54,0,Prey
1,15,416,164,0,Prey
1,16,55,447,0,Prey
1,17,404,733,0,Prey
1,18,213,704,0,Prey
1,19,27,223,0,Prey
1,20,393,329,0,Hunter
1,21,192,442,0,Hunter
1,22,210,529,0,Hunter
1,23,561,527,0,Hunter
1,24,566,538,0,Hunter
1,25,298,517,0,Hunter
1,26,567,283,0,Hunter
1,27,572,303,0,Hunter
1,28,715,667,0,Hunter
1,29,232,7,0,Hunter
1,30,686,584,0,Grass
1,31,186,204,0,Grass
1,32,112,524,0,Grass
1,33,178,72,0,Grass
1,34,341,498,0,Grass
1,35,361,60,0,Grass
1,36,246,214,0,Grass
1,37,138,489,0,Grass
1,38,34,85,0,Grass
1,39,150,525,0,Grass
1,40,638,367,0,Grass
1,41,350,566,0,Grass
1,42,27,718,0,Grass
1,43,286,610,0,Grass
1,44,203,721,0,Grass
2,0,117,742,0,Prey
2,1,165,25,0,Prey
2,2,684,440,0,Prey
2,3,344,523,0,Prey
2,4,248,695,0,Prey
2,5,348,311,0,Prey
2,6,28,73,0,Prey
2,7,70,237,0,Prey
2,8,116,58,0,Prey
2,9,491,686,0,Prey
2,10,647,182,0,Prey
2,11,93,382,0,Prey
2,12,508,601,0,Prey
2,13,235,518,0,Prey
2,14,666,54,0,Prey
2,15,416,164,0,Prey
2,16,55,447,0,Prey
2,17,405,733,0,Prey
2,18,212,704,0,Prey
2,19,27,223,0,Prey
2,20,394,329,0,Hunter
2,21,191,442,0,Hunter
2,22,211,530,0,Hunter
2,23,560,527,0,Hunter
2,24,566,539,0,Hunter
2,25,299,517,0,Hunter
2,26,566,283,0,Hunter
2,27,572,304,0,Hunter
2,28,715,666,0,Hunter
2,29,231,7,0,Hunter
2,30,686,584,0,Grass
2,31,186,204,0,Grass
2,32,112,524,0,Grass
2,33,178,72,0,Grass
2,34,341,498,0,Grass
2,35,361,60,0,Grass
2,36,246,214,0,Grass
2,37,138,489,0,Grass
2,38,34,85,0,Grass
2,39,150,525,0,Grass
2,40,638,367,0,Grass
2,41,350,566,0,Grass
2,42,27,718,0,Grass
2,43,286,610,0,Grass
2,44,203,721,0,Grass
3,0,117,742,0,Prey
3,1,165,25,0,Prey
3,2,684,439,0,Prey
3,3,344,522,0,Prey
3,4,247,695,0,Prey
3,5,348,311,0,Prey
3,6,28,73,0,Prey
3,7,70,237,0,Prey
3,8,116,58,0,Prey
3,9,490,686,0,Prey
3,10,646,182,0,Prey
3,11,94,382,0,Prey
3,12,508,600,0,Prey
3,13,235,518,0,Prey
3,14,666,53,0,Prey
3,15,415,165,0,Prey
3,16,54,447,0,Prey
3,17,405,733,0,Prey
3,18,212,704,0,Prey
3,19,27,222,0,Prey
3,20,395,328,0,Hunter
3,21,190,442,0,Hunter
3,22,212,530,0,Hunter
3,23,559,527,0,Hunter
3,24,565,540,0,Hunter
3,25,300,517,0,Hunter
3,26,566,282,0,Hunter
3,27,572,305,0,Hunter
3,28,714,665,0,Hunter
3,29,230,7,0,Hunter
3,30,686,584,0,Grass
3,31,186,204,0,Grass
3,32,112,524,0,Grass
3,33,178,72,0,Grass
3,34,341,498,0,Grass
3,35,361,60,0,Grass
3,36,246,214,0,Grass
3,37,138,489,0,Grass
3,38,34,85,0,Grass
3,39,150,525,0,Grass
3,40,638,367,0,Grass
3,41,350,566,0,Grass
3,42,27,718,0,Grass
3,43,286,610,0,Grass
3,44,203,721,0,Grass
