0,1,2,3,4,5
0,0,144,445,0,Prey
0,1,388,430,0,Prey
0,2,55,598,0,Prey
0,3,597,220,0,Prey
0,4,340,207,0,Prey
0,5,581,106,0,Prey
0,6,67,14,0,Prey
0,7,730,278,0,Prey
0,8,131,460,0,Prey
0,9,58,56,0,Prey
0,10,456,478,0,Prey
0,11,457,328,0,Prey
0,12,12,255,0,Prey
0,13,293,56,0,Prey
0,14,281,573,0,Prey
0,15,592,136,0,Prey
0,16,115,184,0,Prey
0,17,541,432,0,Prey
0,18,128,358,0,Prey
0,19,137,368,0,Prey
0,20,48,719,0,Hunter
0,21,341,182,0,Hunter
0,22,249,418,0,Hunter
0,23,514,279,0,Hunter
0,24,299,322,0,Hunter
0,25,212,587,0,Hunter
0,26,543,533,0,Hunter
0,27,428,499,0,Hunter
0,28,40,557,0,Hunter
0,29,745,122,0,Hunter
0,30,301,217,0,Grass
0,31,527,39,0,Grass
0,32,59,323,0,Grass
0,33,265,636,0,Grass
0,34,513,468,0,Grass
0,35,14,258,0,Grass
0,36,7,81,0,Grass
0,37,303,696,0,Grass
0,38,405,718,0,Grass
0,39,400,286,0,Grass
0,40,502,677,0,Grass
0,41,482,86,0,Grass
0,42,305,525,0,Grass
0,43,183,596,0,Grass
0,44,258,244,0,Grass
1,0,144,446,0,Prey
1,1,389,429,0,Prey
1,2,55,597,0,Prey
1,3,597,220,0,Prey
1,4,340,208,0,Prey
1,5,580,106,0,Prey
1,6,67,14,0,Prey
1,7,730,278,0,Prey
1,8,131,460,0,Prey
1,9,58,57,0,Prey
1,10,456,478,0,Prey
1,11,457,327,0,Prey
1,12,13,254,0,Prey
1,13,293,55,0,Prey
1,14,280,573,0,Prey
1,15,592,136,0,Prey
1,16,116,184,0,Prey
1,17,542,432,0,Prey
1,18,127,358,0,Prey
1,19,137,367,0,Prey
1,20,49,720,0,Hunter
1,21,340,183,0,Hunter
1,22,249,419,0,Hunter
1,23,514,278,0,Hunter
1,24,298,322,0,Hunter
1,25,211,586,0,Hunter
1,26,542,533,0,Hunter
1,27,428,499,0,Hunter
1,28,41,557,0,Hunter
1,29,745,123,0,Hunter
1,30,301,217,0,Grass
1,31,527,39,0,Grass
1,32,59,323,0,Grass
1,33,265,636,0,Grass
1,34,513,468,0,Grass
1,35,14,258,0,Grass
1,36,7,81,0,Grass
1,37,303,696,0,Grass
1,38,405,718,0,Grass
1,39,400,286,0,Grass
1,40,502,677,0,Grass
1,41,482,86,0,Grass
1,42,305,525,0,Grass
1,43,183,596,0,Grass
1,44,258,244,0,Grass
2,0,144,446,0,Prey
2,1,389,429,0,Prey
2,2,56,597,0,Prey
2,3,597,221,0,Prey
2,4,340,208,0,Prey
2,5,580,106,0,Prey
2,6,68,13,0,Prey
2,7,730,278,0,Prey
2,8,132,460,0,Prey
2,9,58,57,0,Prey
2,10,456,478,0,Prey
2,11,457,327,0,Prey
2,12,13,254,0,Prey
2,13,293,55,0,Prey
2,14,280,574,0,Prey
2,15,592,135,0,Prey
2,16,116,184,0,Prey
2,17,542,432,0,Prey
2,18,127,358,0,Prey
2,19,137,367,0,Prey
2,20,49,721,0,Hunter
2,21,339,183,0,Hunter
2,22,248,420,0,Hunter
2,23,514,277,0,Hunter
2,24,297,322,0,Hunter
2,25,210,586,0,Hunter
2,26,541,533,0,Hunter
2,27,428,500,0,Hunter
2,28,42,558,0,Hunter
2,29,745,124,0,Hunter
2,30,301,217,0,Grass
2,31,527,39,0,Grass
2,32,59,323,0,Grass
2,33,265,636,0,Grass
2,34,513,468,0,Grass
2,35,14,258,0,Grass
2,36,7,81,0,Grass
2,37,303,696,0,Grass
2,38,405,718,0,Grass
2,39,400,286,0,Grass
2,40,502,677,0,Grass
2,41,482,86,0,Grass
2,42,305,525,0,Grass
2,43,183,596,0,Grass
2,44,258,244,0,Grass
3,0,144,446,0,Prey
3,1,389,428,0,Prey
3,2,56,596,0,Prey
3,3,597,221,0,Prey
3,4,340,209,0,Prey
3,5,579,106,0,Prey
3,6,68,13,0,Prey
3,7,729,279,0,Prey
3,8,132,460,0,Prey
3,9,58,58,0,Prey
3,10,455,478,0,Prey
3,11,457,326,0,Prey
3,12,14,254,0,Prey
3,13,293,54,0,Prey
3,14,279,574,0,Prey
3,15,592,135,0,Prey
3,16,117,184,0,Prey
3,17,542,431,0,Prey
3,18,126,358,0,Prey
3,19,137,366,0,Prey
3,20,50,721,0,Hunter
3,21,338,183,0,Hunter
3,22,248,421,0,Hunter
3,23,513,276,0,Hunter
3,24,296,322,0,Hunter
3,25,209,585,0,Hunter
3,26,540,533,0,Hunter
3,27,427,501,0,Hunter
3,28,42,558,0,Hunter
3,29,745,125,0,Hunter
3,30,301,217,0,Grass
3,31,527,39,0,Grass
3,32,59,323,0,Grass
3,33,265,636,0,Grass
3,34,513,468,0,Grass
3,35,14,258,0,Grass
3,36,7,81,0,Grass
3,37,303,696,0,Grass
3,38,405,718,0,Grass
3,39,400,286,0,Grass
3,40,502,677,0,Grass
3,41,482,86,0,Grass
3,42,305,525,0,Grass
3,43,183,596,0,Grass
3,44,258,244,0,Grass
4,0,145,447,0,Prey
4,1,389,428,0,Prey
4,2,56,596,0,Prey
4,3,597,222,0,Prey
4,4,340,209,0,Prey
4,5,579,106,0,Prey
4,6,68,13,0,Prey
4,7,729,279,0,Prey
4,8,133,460,0,Prey
4,9,58,58,0,Prey
4,10,455,477,0,Prey
4,11,457,326,0,Prey
4,12,14,254,0,Prey
4,13,293,54,0,Prey
4,14,279,574,0,Prey
4,15,593,135,0,Prey
4,16,117,183,0,Prey
4,17,543,431,0,Prey
4,18,126,358,0,Prey
4,19,137,366,0,Prey
4,20,50,722,0,Hunter
4,21,337,184,0,Hunter
4,22,248,422,0,Hunter
4,23,513,275,0,Hunter
4,24,295,321,0,Hunter
4,25,208,585,0,Hunter
4,26,539,533,0,Hunter
4,27,427,502,0,Hunter
4,28,43,559,0,Hunter
4,29,745,126,0,Hunter
4,30,301,217,0,Grass
4,31,527,39,0,Grass
4,32,59,323,0,Grass
4,33,265,636,0,Grass
4,34,513,468,0,Grass
4,35,14,258,0,Grass
4,36,7,81,0,Grass
4,37,303,696,0,Grass
4,38,405,718,0,Grass
4,39,400,286,0,Grass
4,40,502,677,0,Grass
4,41,482,86,0,Grass
4,42,305,525,0,Grass
4,43,183,596,0,Grass
4,44,258,244,0,Grass
5,0,145,447,0,Prey
5,1,390,427,0,Prey
5,2,56,595,0,Prey
5,3,597,222,0,Prey
5,4,340,210,0,Prey
5,5,578,106,0,Prey
5,6,68,12,0,Prey
5,7,728,279,0,Prey
5,8,133,460,0,Prey
5,9,58,58,0,Prey
5,10,454,477,0,Prey
5,11,457,325,0,Prey
5,12,14,253,0,Prey
5,13,293,53,0,Prey
5,14,278,574,0,Prey
5,15,593,134,0,Prey
5,16,118,183,0,Prey
5,17,543,431,0,Prey
5,18,125,358,0,Prey
5,19,137,365,0,Prey
5,20,51,723,0,Hunter
5,21,336,184,0,Hunter
5,22,248,423,0,Hunter
5,23,513,274,0,Hunter
5,24,294,321,0,Hunter
5,25,207,585,0,Hunter
5,26,538,532,0,Hunter
5,27,426,503,0,Hunter
5,28,44,559,0,Hunter
5,29,745,127,0,Hunter
5,30,301,217,0,Grass
5,31,527,39,0,Grass
5,32,59,323,0,Grass
5,33,265,636,0,Grass
5,34,513,468,0,Grass
5,35,14,258,0,Grass
5,36,7,81,0,Grass
5,37,303,696,0,Grass
5,38,405,718,0,Grass
5,39,400,286,0,Grass
5,40,502,677,0,Grass
5,41,482,86,0,Grass
5,42,305,525,0,Grass
5,43,183,596,0,Grass
5,44,258,244,0,Grass
6,0,145,448,0,Prey
6,1,390,427,0,Prey
6,2,56,595,0,Prey
6,3,597,223,0,Prey
6,4,340,210,0,Prey
6,5,578,106,0,Prey
6,6,68,12,0,Prey
6,7,728,280,0,Prey
6,8,134,460,0,Prey
6,9,59,59,0,Prey
6,10,454,477,0,Prey
6,11,457,325,0,Prey
6,12,15,253,0,Prey
6,13,292,53,0,Prey
6,14,278,574,0,Prey
6,15,593,134,0,Prey
6,16,118,183,0,Prey
6,17,544,430,0,Prey
